VTD_ID,total_pop,pop_density,prop_white,prop_Black,prop_Hispanic,prop_AIA,prop_Asian,prop_married,prop_nonfamily,prop_family_nonmarried,prop_hs_diploma,prop_some_college,prop_bachelors,prop_higher,prop_under_hs,prop_under_30k,prop_30_to_50k,prop_50_to_100k,prop_more_than_100k,D_pct_vote,Weighted_ideology
26125125510,2813.929583,0.000748075,0.963651997,0.004336754,0.019860338,0.000216764,0.011131706,0.77370467,0.145615124,0.080680206,3.86E-06,0.144544679,0.197973451,0.152208094,0.505269919,0.059173909,0.129923649,0.304763853,0.506138589,0.376992377,0.083180527
26125125511,1553.061268,0.00487514,0.942925036,0,0.025155951,0,0.032523906,0.663840852,0.274284922,0.061874226,0.00071341,0.10973451,0.240019017,0.085522746,0.564010317,0.147343412,0.14195101,0.23666077,0.474044809,0.458797327,-0.108823497
26125125512,3356.001678,0.001676385,0.890643558,0.022348046,0.007747337,0.003873661,0.068831973,0.649415618,0.281302229,0.069282153,0,0.129558125,0.315315316,0.170742191,0.384384369,0.150250421,0.075959953,0.248747946,0.52504168,0.443908323,-0.081895959
26125125513,2854.442547,0.00094985,0.92814785,0.006627175,0.009766305,5.68E-10,0.052668296,0.811240613,0.061505938,0.127253449,0,0.170124476,0.350622394,0.130705391,0.348547739,0.064687208,0.051961887,0.270413565,0.612937339,0.430406852,-0.053710742
26125125514,4384.999728,0.000360663,0.423261112,0.461801599,0.031014825,0.003192702,0.05404789,0.135196372,0.69486405,0.169939579,0,0.138056014,0.206919274,0.100494234,0.554530478,0.403323269,0.356117821,0.200151056,0.040407853,0.72851711,-0.765515399
26125125515,3262.003298,0.002534712,0.728387525,0.066217027,0.034641335,0.029736336,0.144083369,0.48055559,0.454861046,0.064583364,0,0.171580623,0.283374315,0.155610207,0.389434855,0.195138854,0.163194396,0.293750011,0.347916739,0.519044545,-0.255652679
26151151001,663.6081209,1.46E-05,0.987716541,0,0.009974927,0.003817957,0.000177579,0.566889917,0.286841124,0.146268959,0,0.123253703,0.069082882,0.028298562,0.779364853,0.277344286,0.24040669,0.360134211,0.122114812,0.110204082,-0.184367347
26151151003,1114.325015,1.26E-05,0.958614865,0,0.024493243,0.011824324,0.005067568,0.566239316,0.299145299,0.134615385,0,0.146878825,0.069767442,0.019583843,0.76376989,0.38034188,0.222222222,0.337606838,0.05982906,0.104316547,0.030960432
26151151011,953.7581519,1.71E-05,0.909733284,0,0.083975813,0.006290903,0.003145451,0.620847768,0.262458193,0.116694039,0.017748012,0.106199994,0.067845246,0.007151173,0.801055575,0.224397806,0.305076165,0.342652672,0.127873357,0.141843972,0.122875887
26151151012,1231.658613,2.68E-05,0.956844135,0,0.031836988,0.003130162,0.00039309,0.599732067,0.273623223,0.126644709,0,0.101180107,0.08310824,0.03310498,0.782606672,0.290313496,0.262726762,0.278649078,0.168310664,0.150724638,0.341055072
